"Sens Factor =-0.421dB, AGain =18dB, SERNO: 7103798"
"Auto-generated 90-degree calibration file"
411.395	0.3974
416.517	0.3880
421.702	0.3793
426.951	0.3714
432.266	0.3641
437.648	0.3572
443.096	0.3507
448.612	0.3445
454.196	0.3385
459.851	0.3326
465.575	0.3269
471.371	0.3211
477.239	0.3154
483.180	0.3097
489.195	0.3041
495.285	0.2986
501.450	0.2933
507.693	0.2883
514.013	0.2833
520.412	0.2784
526.890	0.2734
533.449	0.2684
540.090	0.2632
546.814	0.2577
553.621	0.2519
560.513	0.2457
567.490	0.2391
574.555	0.2321
581.707	0.2251
588.949	0.2182
596.281	0.2119
603.703	0.2064
611.219	0.2017
618.828	0.1979
626.531	0.1947
634.331	0.1920
642.228	0.1896
650.222	0.1874
658.317	0.1855
666.512	0.1834
674.809	0.1808
683.210	0.1776
691.715	0.1738
700.326	0.1693
709.044	0.1645
717.871	0.1593
726.807	0.1539
735.855	0.1483
745.016	0.1426
754.290	0.1368
763.680	0.1308
773.187	0.1243
782.812	0.1180
792.557	0.1115
802.424	0.1050
812.413	0.0986
822.526	0.0921
832.766	0.0858
843.133	0.0797
853.629	0.0736
864.255	0.0675
875.014	0.0614
885.907	0.0552
896.935	0.0489
908.101	0.0423
919.406	0.0354
930.851	0.0285
942.439	0.0214
954.171	0.0143
966.049	0.0072
978.076	0.0003
990.251	-0.0062
1002.579	-0.0120
1015.060	-0.0173
1027.696	-0.0222
1040.489	-0.0267
1053.442	-0.0306
1066.556	-0.0339
1079.833	-0.0365
1093.276	-0.0385
1106.886	-0.0399
1120.665	-0.0405
1134.616	-0.0405
1148.741	-0.0399
1163.041	-0.0387
1177.519	-0.0372
1192.178	-0.0352
1207.019	-0.0329
1222.045	-0.0306
1237.258	-0.0281
1252.660	-0.0251
1268.254	-0.0219
1284.042	-0.0184
1300.027	-0.0145
1316.211	-0.0103
1332.596	-0.0059
1349.185	-0.0013
1365.981	0.0029
1382.985	0.0069
1400.202	0.0109
1417.633	0.0149
1435.280	0.0189
1453.148	0.0229
1471.238	0.0273
1489.553	0.0320
1508.096	0.0370
1526.870	0.0425
1545.877	0.0484
1565.121	0.0545
1584.605	0.0607
1604.332	0.0671
1624.303	0.0732
1644.524	0.0790
1664.996	0.0844
1685.723	0.0895
1706.708	0.0944
1727.955	0.0984
1749.466	0.1023
1771.244	0.1061
1793.294	0.1096
1815.618	0.1130
1838.221	0.1166
1861.104	0.1199
1884.272	0.1234
1907.729	0.1269
1931.478	0.1300
1955.523	0.1330
1979.866	0.1362
2004.513	0.1397
2029.467	0.1433
2054.731	0.1470
2080.310	0.1508
2106.207	0.1543
2132.427	0.1578
2158.973	0.1609
2185.849	0.1638
2213.060	0.1667
2240.610	0.1695
2268.503	0.1724
2296.743	0.1758
2325.334	0.1803
2354.282	0.1857
2383.590	0.1926
2413.262	0.2007
2443.305	0.2096
2473.721	0.2192
2504.515	0.2296
2535.693	0.2407
2567.260	0.2523
2599.219	0.2644
2631.576	0.2771
2664.335	0.2906
2697.503	0.3053
