# Freq(Hz) Magnitude(dB) Phase(degrees)
89.4427 3.89836 -26.6294
90.1151 3.8587 -26.7134
90.7925 3.81873 -26.794
91.4751 3.77845 -26.8709
92.1627 3.73789 -26.9441
92.8556 3.69704 -27.0137
93.5536 3.65593 -27.0794
94.2569 3.61456 -27.1413
94.9654 3.57296 -27.1993
95.6793 3.53114 -27.2534
96.3986 3.48912 -27.3035
97.1233 3.4469 -27.3495
97.8534 3.40451 -27.3914
98.589 3.36195 -27.4292
99.3301 3.31926 -27.4629
100.077 3.27644 -27.4923
100.829 3.23351 -27.5176
101.587 3.19049 -27.5386
102.351 3.14739 -27.5554
103.12 3.10423 -27.5679
103.895 3.06104 -27.5761
104.676 3.01781 -27.58
105.463 2.97458 -27.5796
106.256 2.93136 -27.5749
107.055 2.88817 -27.566
107.86 2.84502 -27.5527
108.671 2.80194 -27.5352
109.487 2.75893 -27.5135
110.311 2.71602 -27.4875
111.14 2.67322 -27.4573
111.975 2.63055 -27.4229
112.817 2.58803 -27.3843
113.665 2.54566 -27.3417
114.52 2.50348 -27.295
115.381 2.46149 -27.2442
116.248 2.4197 -27.1894
117.122 2.37814 -27.1307
118.002 2.33682 -27.0681
118.889 2.29576 -27.0017
119.783 2.25496 -26.9315
120.684 2.21444 -26.8576
121.591 2.17421 -26.7801
122.505 2.1343 -26.6989
123.426 2.0947 -26.6142
124.354 2.05544 -26.5261
125.288 2.01651 -26.4346
126.23 1.97795 -26.3399
127.179 1.93975 -26.2419
128.135 1.90192 -26.1407
129.098 1.86448 -26.0365
130.069 1.82744 -25.9293
131.047 1.7908 -25.8192
132.032 1.75457 -25.7063
133.024 1.71876 -25.5907
134.024 1.68338 -25.4725
135.032 1.64843 -25.3517
136.047 1.61392 -25.2284
137.07 1.57986 -25.1027
138.1 1.54625 -24.9748
139.138 1.5131 -24.8447
140.184 1.48041 -24.7125
141.238 1.44818 -24.5782
142.3 1.41642 -24.442
143.37 1.38513 -24.304
144.447 1.35432 -24.1642
145.533 1.32398 -24.0228
146.627 1.29412 -23.8798
147.73 1.26474 -23.7353
148.84 1.23584 -23.5894
149.959 1.20741 -23.4422
151.086 1.17947 -23.2937
152.222 1.15201 -23.1441
153.366 1.12502 -22.9934
154.519 1.09851 -22.8417
155.681 1.07248 -22.6891
156.851 1.04693 -22.5357
158.03 1.02184 -22.3815
159.218 0.997225 -22.2266
160.415 0.973077 -22.0711
161.621 0.949393 -21.9151
162.836 0.926169 -21.7586
164.06 0.903403 -21.6017
165.294 0.88109 -21.4445
166.536 0.859227 -21.287
167.788 0.837809 -21.1293
169.049 0.816832 -20.9715
170.32 0.796291 -20.8135
171.601 0.776182 -20.6556
172.891 0.756499 -20.4977
174.19 0.737238 -20.3398
175.5 0.718393 -20.1821
176.819 0.699959 -20.0246
178.148 0.681931 -19.8673
179.488 0.664302 -19.7103
180.837 0.647068 -19.5537
182.196 0.630223 -19.3974
183.566 0.61376 -19.2415
184.946 0.597674 -19.0861
186.336 0.581959 -18.9312
187.737 0.566609 -18.7768
189.148 0.551618 -18.623
190.57 0.53698 -18.4697
192.003 0.522689 -18.3172
193.446 0.508738 -18.1652
194.9 0.495122 -18.014
196.366 0.481835 -17.8635
197.842 0.468871 -17.7138
199.329 0.456223 -17.5648
200.827 0.443885 -17.4167
202.337 0.431852 -17.2693
203.858 0.420118 -17.1228
205.391 0.408676 -16.9772
206.935 0.39752 -16.8324
208.49 0.386646 -16.6886
210.058 0.376046 -16.5457
211.637 0.365716 -16.4037
213.228 0.355649 -16.2626
214.831 0.34584 -16.1225
216.446 0.336284 -15.9834
218.073 0.326974 -15.8452
219.712 0.317906 -15.7081
221.364 0.309073 -15.5719
223.028 0.300472 -15.4368
224.704 0.292096 -15.3026
226.394 0.28394 -15.1695
228.096 0.275999 -15.0375
229.81 0.268269 -14.9064
231.538 0.260744 -14.7764
233.278 0.253419 -14.6474
235.032 0.246291 -14.5195
236.799 0.239353 -14.3927
238.579 0.232601 -14.2668
240.373 0.226032 -14.1421
242.18 0.21964 -14.0183
244 0.213422 -13.8957
245.834 0.207372 -13.774
247.682 0.201487 -13.6535
249.544 0.195762 -13.5339
251.42 0.190194 -13.4155
253.31 0.184779 -13.298
255.215 0.179512 -13.1816
257.133 0.17439 -13.0662
259.066 0.16941 -12.9519
261.014 0.164567 -12.8386
262.976 0.159859 -12.7263
264.953 0.155281 -12.6151
266.944 0.15083 -12.5048
268.951 0.146503 -12.3956
270.973 0.142297 -12.2874
273.01 0.138208 -12.1801
275.062 0.134234 -12.0739
277.13 0.130371 -11.9686
279.213 0.126617 -11.8644
281.312 0.122968 -11.7611
283.427 0.119421 -11.6588
285.558 0.115975 -11.5574
287.705 0.112626 -11.457
289.867 0.109372 -11.3575
292.046 0.10621 -11.259
294.242 0.103137 -11.1614
296.454 0.100151 -11.0648
298.682 0.0972506 -10.969
300.928 0.0944324 -10.8742
303.19 0.0916943 -10.7803
305.469 0.0890343 -10.6872
307.765 0.0864502 -10.5951
310.079 0.0839398 -10.5039
312.41 0.0815012 -10.4135
314.759 0.0791323 -10.3239
317.125 0.0768313 -10.2353
319.509 0.0745962 -10.1475
321.911 0.0724252 -10.0605
324.331 0.0703165 -9.97437
326.769 0.0682684 -9.88907
329.225 0.0662792 -9.80458
331.7 0.0643473 -9.7209
334.194 0.0624709 -9.63802
336.706 0.0606487 -9.55594
339.237 0.058879 -9.47465
341.787 0.0571603 -9.39413
344.357 0.0554913 -9.31439
346.945 0.0538705 -9.23541
349.553 0.0522966 -9.15719
352.181 0.0507682 -9.07971
354.829 0.0492841 -9.00298
357.496 0.0478429 -8.92698
360.184 0.0464435 -8.85171
362.891 0.0450847 -8.77715
365.619 0.0437653 -8.7033
368.368 0.0424841 -8.63016
371.137 0.0412402 -8.55772
373.927 0.0400325 -8.48596
376.738 0.0388598 -8.41489
379.57 0.0377212 -8.34448
382.423 0.0366158 -8.27475
385.298 0.0355425 -8.20568
388.195 0.0345005 -8.13726
391.113 0.0334888 -8.06948
394.053 0.0325067 -8.00235
397.015 0.0315531 -7.93584
400 0.0306274 -7.86997
